UF,Municipio,órgão_Concedente,Ano_de_Vigencia,Nome_Ministro,Partido_Ministro,Partido_Governador,Transferencia_percapita,Vl_Liberado
PE,RECIFE,MINISTERIO DA JUSTICA,2009,Tarso Genro,PT,PSB,0.0119179329181808,105000.04
BA,SALVADOR,MINISTERIO DA CULTURA,2014,Marta Suplicy,PT,PT,0.0069589064025998,105263
BA,SALVADOR,MINISTERIO DA SAUDE,2012,Alexandre Padilha,PT,PT,0.0074257938486277,105263.16
AC,RIO BRANCO,PRESIDENCIA DA REPÚBLICA,2012,Gilberto Carvalho,PT,PT,0.138774305271842,105300
AC,RIO BRANCO,MINISTERIO DA JUSTICA,2013,José Eduardo Cardozo,PT,PT,0.135614961691671,105300
BA,SALVADOR,MINISTERIO DOS DIREITOS HUMANOS,2013,Maria do Rosário,PT,PT,0.00699940448561456,105300
PI,TERESINA,MINISTERIO DA SAUDE,2012,Alexandre Padilha,PT,PSB,0.0333205304567147,105317.8
SE,ARACAJU,MINISTERIO DA SAUDE,2013,Alexandre Padilha,PT,PT,0.0480260167548557,105448.9
GO,GOIANIA,MINISTERIO DO TURISMO,2009,Luiz Barretto Filho,PT,PP,0.0178806337849923,105966
PB,JOAO PESSOA,PRESIDENCIA DA REPÚBLICA,2012,Gilberto Carvalho,PT,PSB,0.0277838136219844,106000
AC,RIO BRANCO,MINISTERIO DA JUSTICA,2012,José Eduardo Cardozo,PT,PT,0.139704738885536,106006
ES,VITORIA,MINISTERIO DOS DIREITOS HUMANOS,2013,Maria do Rosário,PT,PSB,0.0276738398996084,106250
PE,RECIFE,MINISTERIO DA SAUDE,2012,Alexandre Padilha,PT,PSB,0.0119359159998155,106600
ES,VITORIA,MINISTERIO DOS DIREITOS HUMANOS,2012,Maria do Rosário,PT,PSB,0.0297926226646958,106600
MA,SAO LUIS,MINISTERIO DOS DIREITOS HUMANOS,2010,Paulo Vannuchi,PT,PDT,0.0162351821237037,106660
PI,TERESINA,MINISTERIO DA CULTURA,2013,Marta Suplicy,PT,PSB,0.0337526372682831,107474
PI,TERESINA,MINISTERIO DA JUSTICA,2011,José Eduardo Cardozo,PT,PSB,0.034292231132092,107684.91
PI,TERESINA,MINISTERIO DO TURISMO,2009,Luiz Barretto Filho,PT,PT,0.03427308783671,107800
PI,TERESINA,MINISTERIO DO TURISMO,2010,Luiz Barretto Filho,PT,PT,0.03469364526942,108210
