UF,Municipio,órgão_Concedente,Ano_de_Vigencia,Partido_Ministro_Partido_Governador,UFMinistro_Ufdestino,Vl_Liberado
RS,PORTO ALEGRE,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2012,nao,sim,360000
SP,CAMPINAS,MINISTERIO DA SAUDE,2012,nao,sim,299944
SP,CAMPINAS,MINISTERIO DA SAUDE,2012,nao,sim,1129000
SP,SAO JOSE DO RIO PRETO,MINISTERIO DA SAUDE,2012,nao,sim,127850
SP,MARILIA,MINISTERIO DA SAUDE,2012,nao,sim,364492.52
SP,SAO PAULO,MINISTERIO DA JUSTICA,2012,nao,sim,2358510
SP,SAO PAULO,MINISTERIO DA JUSTICA,2012,nao,sim,621000
RS,PORTO ALEGRE,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2012,nao,sim,455037.76
SP,SAO JOSE DO RIO PRETO,MINISTERIO DA EDUCACAO,2012,nao,sim,1010455.44
RS,PORTO ALEGRE,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2012,nao,sim,2814850.08
SP,SAO PAULO,MINISTERIO DA JUSTICA,2012,nao,sim,210800
SP,SAO PAULO,MINISTERIO DA EDUCACAO,2012,nao,sim,551455.6
SP,BOTUCATU,MINISTERIO DA SAUDE,2012,nao,sim,2357890.75
PR,CASCAVEL,PRESIDENCIA DA REPÚBLICA,2012,nao,sim,116792.31
SP,SAO PAULO,MINISTERIO DO ESPORTE,2012,nao,sim,27334500.68
SP,SAO PAULO,MINISTERIO DA SAUDE,2012,nao,sim,109400
SP,SAO PAULO,MINISTERIO DA EDUCACAO,2012,nao,sim,4483457.9
SP,SAO PAULO,MINISTERIO DA EDUCACAO,2012,nao,sim,553496.98
RS,PORTO ALEGRE,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2012,nao,sim,325000
SP,SAO PAULO,MINISTERIO DA CULTURA,2012,nao,sim,600000
SP,MARILIA,MINISTERIO DA SAUDE,2012,nao,sim,460875.14
PR,CURITIBA,PRESIDENCIA DA REPÚBLICA,2012,nao,sim,100000
PB,JOAO PESSOA,MINISTERIO DAS CIDADES,2012,nao,sim,17700055.67
PB,JOAO PESSOA,MINISTERIO DAS CIDADES,2012,nao,sim,1402184.07
SP,SAO PAULO,MINISTERIO DA EDUCACAO,2013,nao,sim,570231.54
SP,SAO PAULO,MINISTERIO DA EDUCACAO,2013,nao,sim,189583
SP,SAO PAULO,MINISTERIO DA JUSTICA,2013,nao,sim,51421644.09
SP,SAO PAULO,MINISTERIO DA JUSTICA,2013,nao,sim,44267594.45
SP,SAO PAULO,MINISTERIO DA JUSTICA,2013,nao,sim,43056606.21
SP,SAO PAULO,MINISTERIO DA JUSTICA,2013,nao,sim,46367832.26
